Object,ID Number,Experiment Number,Crop,Crop High,Sim availability,LOS availability,NLOS availability,Large Aperture,24 Calibration ID,Background ID LOS,Background ID NLOS
cups_e,56e,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0213,,
cups_f,65f,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0304,0304
cups_g,65g,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0213,,
cups_h,65h,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
cups_i,65i,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0213,,
cups_j,65j,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0213,,
colored_wood_blocks,70,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0215,0215
nine_hole_peg_test,71,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0225,0225
toy_airplane,72,1,,,,,,,0213,0813,0813
timer,76,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0215,0215
rubiks_cube,77,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0214,0214
chips_can,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0822,0822
master_chef_can,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0213,0822,0825
cracker_box,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
sugar_box,4,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
tomato_soup_can,5,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0816,0816
mustard_bottle,6,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
tuna_fish_can,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
pudding_box,8,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
gelatin_box,9,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
potted_meat_can,10,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0213,0825,0825
banana,11,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0829,0829
strawberry,12,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
apple,13,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
lemon,14,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
peach,15,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
pear,16,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
orange,17,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
plum,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
pitcher_base,19,2,FALSE,,FALSE,FALSE,FALSE,FALSE,0213,,
bleach_cleanser,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
windex_bottle,22,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
wine_glass,23,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
bowl,24,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
mug,25,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
sponge,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
skillet,27,2,,,,,,,0213,1010,1010
skillet_lid,28,2,,,,,,,0213,1010,1010
plate,29,2,,,,,,,0213,1010,1010
fork,30,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
spoon,31,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
knife,32,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
spatula,33,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0815,0815
power_drill,35,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
scissors,37,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
padlock,38,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0819,0819
key,39,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0213,,
large_marker,40,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
small_marker,41,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
wrench,42,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0819,0819
phillips_screwdriver,43,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
flat_screwdriver,44,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
plastic_bolt,46,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
plastic_nut,47,2,FALSE,,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
hammer,48,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
small_clamp,49,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
medium_clamp,50,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0830,0830
large_clamp,51,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0829,0829
extra_large_clamp,52,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0825,0825
mini_soccer_ball,53,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0825,0825
softball,54,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0829,0829
baseball,55,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
tennis_ball,56,2,FALSE,,FALSE,FALSE,FALSE,FALSE,0213,,
racquetball,57,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0829,0829
golf_ball,58,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
foam_brick,61,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0825,0825
dice,62,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
marbles,63,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
cups_a,65a,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
cups_b,65b,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,0830,0830
cups_c,65c,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
cups_d,65d,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
cups_e,56e,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
cups_f,65f,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
cups_g,65g,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
cups_h,65h,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
cups_i,65i,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
cups_j,65j,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,0830,0830
colored_wood_blocks,70,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0213,0830,0830
colored_wood_blocks_b,70b,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
nine_hole_peg_test,71,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0213,0825,0825
toy_airplane,72,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,,
toy_airplane_b,72b,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
toy_airplane_c,72c,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
toy_airplane_d,72d,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
toy_airplane_e,72e,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0213,1010,1010
timer,76,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0825,0825
rubiks_cube,77,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0213,0819,0819
